"RESOURCE","DATE","HOUR","NEDOCS_SAT_SCORE","NEDOCS_VALUE","ED_STATUS"
"2","2022-01-01","0","7","Green","Normal"
"2","2022-01-01","1","7","Green","Normal"
"2","2022-01-01","2","7","Green","Normal"
"2","2022-01-01","3","7","Green","Normal"
"2","2022-01-01","4","7","Green","Normal"
"2","2022-01-01","5","7","Green","Normal"
"2","2022-01-01","6","7","Green","Normal"
"2","2022-01-01","7","7","Green","Normal"
"2","2022-01-01","8","7","Green","Normal"
"2","2022-01-01","9","7","Green","Normal"
"2","2022-01-01","10","7","Green","Normal"
"2","2022-01-01","11","7","Green","Normal"
"2","2022-01-01","12","7","Green","Normal"
"2","2022-01-01","13","7","Green","Normal"
"2","2022-01-01","14","7","Green","Normal"
"2","2022-01-01","15","7","Green","Normal"
"2","2022-01-01","16","7","Green","Normal"
"2","2022-01-01","17","7","Green","Normal"
"2","2022-01-01","18","7","Green","Normal"
"2","2022-01-01","19","7","Green","Normal"
"2","2022-01-01","20","7","Green","Normal"
"2","2022-01-01","21","7","Green","Normal"
"2","2022-01-01","22","7","Green","Normal"
"2","2022-01-01","23","7","Green","Normal"
"2","2022-01-02","0","7","Green","Normal"
"2","2022-01-02","1","7","Green","Normal"
"2","2022-01-02","2","7","Green","Normal"
"2","2022-01-02","3","7","Green","Normal"
"2","2022-01-02","4","76","Yellow","Busy"
"2","2022-01-02","5","76","Yellow","Busy"
"2","2022-01-02","6","76","Yellow","Busy"
"2","2022-01-02","7","76","Yellow","Busy"
"2","2022-01-02","8","76","Yellow","Busy"
"2","2022-01-02","9","76","Yellow","Busy"
"2","2022-01-02","10","76","Yellow","Busy"
"2","2022-01-02","11","76","Yellow","Busy"
"2","2022-01-02","12","76","Yellow","Busy"
"2","2022-01-02","13","76","Yellow","Busy"
"2","2022-01-02","14","76","Yellow","Busy"
"2","2022-01-02","15","76","Yellow","Busy"
"2","2022-01-02","16","76","Yellow","Busy"
"2","2022-01-02","17","76","Yellow","Busy"
"2","2022-01-02","18","76","Yellow","Busy"
"2","2022-01-02","19","76","Yellow","Busy"
"2","2022-01-02","20","76","Yellow","Busy"
"2","2022-01-02","21","76","Yellow","Busy"
"2","2022-01-02","22","76","Yellow","Busy"
"2","2022-01-02","23","76","Yellow","Busy"
"2","2022-01-03","0","76","Yellow","Busy"
"2","2022-01-03","1","76","Yellow","Busy"
"2","2022-01-03","2","76","Yellow","Busy"
"2","2022-01-03","3","76","Yellow","Busy"
"2","2022-01-03","4","76","Yellow","Busy"
"2","2022-01-03","5","76","Yellow","Busy"
"2","2022-01-03","6","76","Yellow","Busy"
"2","2022-01-03","7","76","Yellow","Busy"
"2","2022-01-03","8","76","Yellow","Busy"
"2","2022-01-03","9","131","Orange","Overcrowded"
"2","2022-01-03","10","131","Orange","Overcrowded"
"2","2022-01-03","11","131","Orange","Overcrowded"
"2","2022-01-03","12","131","Orange","Overcrowded"
